date,region,latitude,longitude,pm25_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,o3_ugm3,aqi,aqi_category
2020-01-01,Nairobi,-1.2921,36.8219,31.4,37.4,19.6,6.9,60.5,92.0,Moderate
2020-01-02,Nairobi,-1.2921,36.8219,32.0,48.0,15.6,15.7,68.8,93.0,Moderate
2020-01-03,Nairobi,-1.2921,36.8219,36.2,49.4,13.1,11.8,82.7,103.0,Unhealthy for Sensitive Groups
2020-01-04,Nairobi,-1.2921,36.8219,40.6,51.6,21.8,7.0,69.7,113.0,Unhealthy for Sensitive Groups
2020-01-05,Nairobi,-1.2921,36.8219,34.7,52.9,8.3,8.6,68.6,99.0,Moderate
2020-01-06,Nairobi,-1.2921,36.8219,36.6,46.7,13.2,4.9,95.1,104.0,Unhealthy for Sensitive Groups
2020-01-07,Nairobi,-1.2921,36.8219,34.6,70.2,21.3,6.7,56.7,98.0,Moderate
2020-01-08,Nairobi,-1.2921,36.8219,29.4,50.7,6.0,5.5,95.2,87.0,Moderate
2020-01-09,Nairobi,-1.2921,36.8219,28.2,45.0,17.6,6.4,80.2,85.0,Moderate
2020-01-10,Nairobi,-1.2921,36.8219,34.5,47.1,18.9,10.1,84.9,98.0,Moderate
2020-01-11,Nairobi,-1.2921,36.8219,40.1,59.0,13.6,5.7,82.3,112.0,Unhealthy for Sensitive Groups
2020-01-12,Nairobi,-1.2921,36.8219,32.2,51.5,12.2,8.1,103.4,93.0,Moderate
2020-01-13,Nairobi,-1.2921,36.8219,35.9,53.1,21.2,10.2,75.1,102.0,Unhealthy for Sensitive Groups
2020-01-14,Nairobi,-1.2921,36.8219,32.2,59.2,16.2,9.3,61.2,93.0,Moderate
2020-01-15,Nairobi,-1.2921,36.8219,29.9,51.5,20.7,13.7,66.5,88.0,Moderate
2020-01-16,Nairobi,-1.2921,36.8219,29.4,55.6,25.6,5.0,50.6,87.0,Moderate
2020-01-17,Nairobi,-1.2921,36.8219,33.3,41.2,17.8,10.3,76.7,96.0,Moderate
2020-01-18,Nairobi,-1.2921,36.8219,30.3,46.3,15.3,4.0,73.1,89.0,Moderate
2020-01-19,Nairobi,-1.2921,36.8219,28.8,54.2,16.7,12.2,65.3,500.0,Hazardous
2020-01-20,Nairobi,-1.2921,36.8219,30.8,59.5,17.4,6.0,60.2,90.0,Moderate
2020-01-21,Nairobi,-1.2921,36.8219,41.8,41.8,8.8,8.6,94.4,116.0,Unhealthy for Sensitive Groups
2020-01-22,Nairobi,-1.2921,36.8219,28.1,57.5,10.0,10.4,92.2,85.0,Moderate
2020-01-23,Nairobi,-1.2921,36.8219,28.1,59.0,10.1,1.0,77.8,85.0,Moderate
2020-01-24,Nairobi,-1.2921,36.8219,34.4,58.1,20.4,4.9,79.8,98.0,Moderate
2020-01-25,Nairobi,-1.2921,36.8219,30.3,51.9,26.5,7.4,65.3,89.0,Moderate
2020-01-26,Nairobi,-1.2921,36.8219,31.2,58.8,17.4,11.1,107.7,91.0,Moderate
2020-01-27,Nairobi,-1.2921,36.8219,41.5,45.6,18.7,2.8,96.4,116.0,Unhealthy for Sensitive Groups
2020-01-28,Nairobi,-1.2921,36.8219,24.8,39.7,14.1,10.8,65.9,78.0,Moderate
2020-01-29,Nairobi,-1.2921,36.8219,29.9,45.3,15.7,10.8,80.3,88.0,Moderate
2020-01-30,Nairobi,-1.2921,36.8219,29.4,64.3,20.1,5.7,66.6,87.0,Moderate
2020-01-31,Nairobi,-1.2921,36.8219,30.5,59.8,5.0,11.9,74.6,90.0,Moderate
2020-02-01,Nairobi,-1.2921,36.8219,26.4,53.1,16.4,10.6,97.2,81.0,Moderate
2020-02-02,Nairobi,-1.2921,36.8219,34.2,56.0,15.3,10.0,70.8,98.0,Moderate
2020-02-03,Nairobi,-1.2921,36.8219,30.5,39.5,23.3,6.1,96.1,90.0,Moderate
2020-02-04,Nairobi,-1.2921,36.8219,38.8,39.6,15.7,10.0,71.7,109.0,Unhealthy for Sensitive Groups
2020-02-05,Nairobi,-1.2921,36.8219,25.7,63.9,18.2,8.1,64.3,80.0,Moderate
2020-02-06,Nairobi,-1.2921,36.8219,27.4,53.3,12.7,8.7,85.6,83.0,Moderate
2020-02-07,Nairobi,-1.2921,36.8219,30.2,65.5,11.2,5.2,86.3,89.0,Moderate
2020-02-08,Nairobi,-1.2921,36.8219,34.9,44.0,13.3,3.4,71.5,99.0,Moderate
2020-02-09,Nairobi,-1.2921,36.8219,36.5,41.6,9.5,5.5,97.1,103.0,Unhealthy for Sensitive Groups
2020-02-10,Nairobi,-1.2921,36.8219,37.5,37.5,6.1,8.3,55.9,106.0,Unhealthy for Sensitive Groups
2020-02-11,Nairobi,-1.2921,36.8219,38.5,38.5,11.2,8.6,102.1,108.0,Unhealthy for Sensitive Groups
2020-02-12,Nairobi,-1.2921,36.8219,32.5,54.5,15.9,10.8,84.6,500.0,Hazardous
2020-02-13,Nairobi,-1.2921,36.8219,36.2,58.1,20.4,1.5,57.2,103.0,Unhealthy for Sensitive Groups
2020-02-14,Nairobi,-1.2921,36.8219,35.9,67.7,16.6,7.2,94.8,102.0,Unhealthy for Sensitive Groups
2020-02-15,Nairobi,-1.2921,36.8219,39.1,57.4,14.8,8.1,83.9,110.0,Unhealthy for Sensitive Groups
2020-02-16,Nairobi,-1.2921,36.8219,39.1,55.4,17.2,10.9,79.3,110.0,Unhealthy for Sensitive Groups
2020-02-17,Nairobi,-1.2921,36.8219,33.8,67.7,11.8,6.3,67.1,97.0,Moderate
2020-02-18,Nairobi,-1.2921,36.8219,34.1,55.0,5.4,10.9,63.8,97.0,Moderate
2020-02-19,Nairobi,-1.2921,36.8219,34.8,53.0,5.0,1.0,63.2,99.0,Moderate
2020-02-20,Nairobi,-1.2921,36.8219,38.4,38.4,20.6,2.7,47.2,108.0,Unhealthy for Sensitive Groups
2020-02-21,Nairobi,-1.2921,36.8219,34.0,51.7,6.2,4.4,84.6,97.0,Moderate
2020-02-22,Nairobi,-1.2921,36.8219,30.6,57.0,13.3,11.0,62.8,90.0,Moderate
2020-02-23,Nairobi,-1.2921,36.8219,35.4,41.9,16.5,9.9,64.1,500.0,Hazardous
2020-02-24,Nairobi,-1.2921,36.8219,34.4,56.5,17.5,5.8,74.5,98.0,Moderate
2020-02-25,Nairobi,-1.2921,36.8219,41.0,44.9,15.7,7.4,85.1,115.0,Unhealthy for Sensitive Groups
2020-02-26,Nairobi,-1.2921,36.8219,39.5,47.3,16.8,10.1,75.0,111.0,Unhealthy for Sensitive Groups
2020-02-27,Nairobi,-1.2921,36.8219,28.3,52.8,15.1,3.1,68.2,85.0,Moderate
2020-02-28,Nairobi,-1.2921,36.8219,36.1,48.4,17.3,4.8,81.9,103.0,Unhealthy for Sensitive Groups
2020-02-29,Nairobi,-1.2921,36.8219,33.1,54.4,13.1,8.5,108.4,500.0,Hazardous
2020-03-01,Nairobi,-1.2921,36.8219,22.1,43.8,14.1,1.0,91.3,72.0,Moderate
