date,region,latitude,longitude,elevation,temperature_c,rainfall_mm,humidity_percent,wind_speed_kmh,pressure_hpa
2020-01-01,Nairobi,-1.2921,36.8219,1795,17.9,0.79,49.7,2.8,1016.2
2020-01-02,Nairobi,-1.2921,36.8219,1795,17.5,0.74,55.7,4.2,1018.4
2020-01-03,Nairobi,-1.2921,36.8219,1795,16.1,0.22,48.7,0.0,1022.5
2020-01-04,Nairobi,-1.2921,36.8219,1795,18.7,0.09,43.8,3.4,998.9
2020-01-05,Nairobi,-1.2921,36.8219,1795,20.0,0.13,50.6,10.4,1016.9
2020-01-06,Nairobi,-1.2921,36.8219,1795,17.4,0.11,49.5,4.1,1010.1
2020-01-07,Nairobi,-1.2921,36.8219,1795,16.0,0.08,61.7,4.3,1012.9
2020-01-08,Nairobi,-1.2921,36.8219,1795,16.7,0.65,54.7,5.8,993.4
2020-01-09,Nairobi,-1.2921,36.8219,1795,14.6,2.1,54.1,5.9,1021.8
2020-01-10,Nairobi,-1.2921,36.8219,1795,15.3,0.19,45.5,4.6,1023.6
2020-01-11,Nairobi,-1.2921,36.8219,1795,18.0,0.09,44.9,6.7,1021.9
2020-01-12,Nairobi,-1.2921,36.8219,1795,19.2,0.05,57.9,3.9,1009.9
2020-01-13,Nairobi,-1.2921,36.8219,1795,18.1,0.24,59.3,5.3,1008.9
2020-01-14,Nairobi,-1.2921,36.8219,1795,19.8,0.61,50.3,5.6,1023.0
2020-01-15,Nairobi,-1.2921,36.8219,1795,18.2,0.86,51.9,8.8,1016.4
2020-01-16,Nairobi,-1.2921,36.8219,1795,24.3,0.33,50.8,6.0,1010.0
2020-01-17,Nairobi,-1.2921,36.8219,1795,17.8,1.43,45.8,4.8,998.0
2020-01-18,Nairobi,-1.2921,36.8219,1795,16.1,0.05,59.8,4.3,1008.0
2020-01-19,Nairobi,-1.2921,36.8219,1795,19.5,0.98,58.1,8.7,1014.8
2020-01-20,Nairobi,-1.2921,36.8219,1795,17.1,0.07,60.1,5.2,998.4
2020-01-21,Nairobi,-1.2921,36.8219,1795,18.4,0.0,58.4,0.8,1016.5
2020-01-22,Nairobi,-1.2921,36.8219,1795,17.0,0.25,55.9,5.8,1017.0
2020-01-23,Nairobi,-1.2921,36.8219,1795,21.6,0.27,58.6,6.1,996.3
2020-01-24,Nairobi,-1.2921,36.8219,1795,15.8,0.02,53.1,6.3,1037.6
2020-01-25,Nairobi,-1.2921,36.8219,1795,17.6,0.09,59.9,6.9,1012.9
2020-01-26,Nairobi,-1.2921,36.8219,1795,19.6,0.86,52.9,7.9,1003.9
2020-01-27,Nairobi,-1.2921,36.8219,1795,20.9,0.6,52.0,4.6,1013.8
2020-01-28,Nairobi,-1.2921,36.8219,1795,17.1,0.12,63.9,6.6,1008.0
2020-01-29,Nairobi,-1.2921,36.8219,1795,15.1,0.62,59.9,7.5,1003.9
2020-01-30,Nairobi,-1.2921,36.8219,1795,19.5,0.09,59.1,4.9,1009.8
