sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
122;SDS011;56;-0.108;34.749;2019-09-01T00:01:40.098767+00:00;P2;42.53
122;SDS011;56;-0.108;34.749;2019-09-01T00:01:40.098767+00:00;P1;46.60
121;DHT22;56;-0.108;34.749;2019-09-01T00:01:42.096961+00:00;humidity;95.10
121;DHT22;56;-0.108;34.749;2019-09-01T00:01:42.096961+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T00:04:11.702385+00:00;P2;42.93
122;SDS011;56;-0.108;34.749;2019-09-01T00:04:11.702385+00:00;P1;47.33
122;SDS011;56;-0.108;34.749;2019-09-01T00:06:41.365153+00:00;P2;42.33
122;SDS011;56;-0.108;34.749;2019-09-01T00:06:41.365153+00:00;P1;46.63
121;DHT22;56;-0.108;34.749;2019-09-01T00:06:42.952962+00:00;humidity;95.30
121;DHT22;56;-0.108;34.749;2019-09-01T00:06:42.952962+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:09:12.715066+00:00;P2;44.27
122;SDS011;56;-0.108;34.749;2019-09-01T00:09:12.715066+00:00;P1;48.37
122;SDS011;56;-0.108;34.749;2019-09-01T00:11:42.837670+00:00;P2;44.27
122;SDS011;56;-0.108;34.749;2019-09-01T00:11:42.837670+00:00;P1;48.37
121;DHT22;56;-0.108;34.749;2019-09-01T00:11:44.527412+00:00;humidity;95.60
121;DHT22;56;-0.108;34.749;2019-09-01T00:11:44.527412+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:14:13.268653+00:00;P2;44.23
122;SDS011;56;-0.108;34.749;2019-09-01T00:14:13.268653+00:00;P1;48.53
121;DHT22;56;-0.108;34.749;2019-09-01T00:14:15.059234+00:00;humidity;95.80
121;DHT22;56;-0.108;34.749;2019-09-01T00:14:15.059234+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:16:44.830363+00:00;P2;42.90
122;SDS011;56;-0.108;34.749;2019-09-01T00:16:44.830363+00:00;P1;46.80
121;DHT22;56;-0.108;34.749;2019-09-01T00:16:46.640612+00:00;humidity;95.90
121;DHT22;56;-0.108;34.749;2019-09-01T00:16:46.640612+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:19:15.363070+00:00;P2;40.10
122;SDS011;56;-0.108;34.749;2019-09-01T00:19:15.363070+00:00;P1;43.63
121;DHT22;56;-0.108;34.749;2019-09-01T00:19:16.975513+00:00;humidity;96.00
121;DHT22;56;-0.108;34.749;2019-09-01T00:19:16.975513+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:21:45.926718+00:00;P2;43.50
122;SDS011;56;-0.108;34.749;2019-09-01T00:21:45.926718+00:00;P1;47.40
121;DHT22;56;-0.108;34.749;2019-09-01T00:21:48.036850+00:00;humidity;96.20
121;DHT22;56;-0.108;34.749;2019-09-01T00:21:48.036850+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:24:16.744065+00:00;P2;43.33
122;SDS011;56;-0.108;34.749;2019-09-01T00:24:16.744065+00:00;P1;47.23
121;DHT22;56;-0.108;34.749;2019-09-01T00:24:18.648955+00:00;humidity;96.30
121;DHT22;56;-0.108;34.749;2019-09-01T00:24:18.648955+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:26:50.281452+00:00;P2;39.93
122;SDS011;56;-0.108;34.749;2019-09-01T00:26:50.281452+00:00;P1;44.00
121;DHT22;56;-0.108;34.749;2019-09-01T00:26:52.144787+00:00;humidity;96.40
121;DHT22;56;-0.108;34.749;2019-09-01T00:26:52.144787+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:29:20.863274+00:00;P2;40.37
122;SDS011;56;-0.108;34.749;2019-09-01T00:29:20.863274+00:00;P1;44.30
121;DHT22;56;-0.108;34.749;2019-09-01T00:29:22.498501+00:00;humidity;96.60
121;DHT22;56;-0.108;34.749;2019-09-01T00:29:22.498501+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:31:51.799297+00:00;P2;41.60
122;SDS011;56;-0.108;34.749;2019-09-01T00:31:51.799297+00:00;P1;45.50
121;DHT22;56;-0.108;34.749;2019-09-01T00:31:53.425183+00:00;humidity;96.70
121;DHT22;56;-0.108;34.749;2019-09-01T00:31:53.425183+00:00;temperature;19.10
122;SDS011;56;-0.108;34.749;2019-09-01T00:34:23.053562+00:00;P2;45.33
122;SDS011;56;-0.108;34.749;2019-09-01T00:34:23.053562+00:00;P1;49.73
121;DHT22;56;-0.108;34.749;2019-09-01T00:34:24.768754+00:00;humidity;96.80
121;DHT22;56;-0.108;34.749;2019-09-01T00:34:24.768754+00:00;temperature;19.10
122;SDS011;56;-0.108;34.749;2019-09-01T00:36:54.142782+00:00;P2;46.27
